
    ZAMAN                               OLAY SIRASI                     RASTGELE SAYI
    -----                               -----------                     -------------

03.12.2022 14:23:27                     1                             28
    
03.12.2022 14:23:27                     2                             13
    
03.12.2022 14:23:27                     3                             61
    
03.12.2022 14:23:27                     4                             81
    
03.12.2022 14:23:27                     5                             90
    
03.12.2022 14:23:27                     6                             24
    
03.12.2022 14:23:27                     7                             44
    
03.12.2022 14:23:27                     8                             56
    
03.12.2022 14:23:27                     9                             13
    
03.12.2022 14:23:27                     10                             54
    
